new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
. travis . yml \n - oraclejdk8 \n - - oraclejdk7 \n - - openjdk7 \n,Update travis config,repo240
new file \n Binary files / dev / null and b / core / src / test / resources / indices / bwc / index - 2 . 0 . 0 - rc1 . zip differ \n new file \n Binary files / dev / null and b / core / src / test / resources / indices / bwc / repo - 2 . 0 . 0 - rc1 . zip differ \n,Added bwc indices for 2 . 0 . 0 - rc1,repo2
. hgtags \n + d658781caf715599d4f92a11c947179d9c359c28 flyway - 1 . 7 \n + 0000000000000000000000000000000000000000 flyway - 1 . 7 \n,Removed tag flyway - 1 . 7,repo491
CHANGELOG . rdoc \n - * Fix a bug where CFLAGS passed in are dropped . \n + * ( MRI ) Fix a bug where CFLAGS passed in are dropped . \n,Add a ( MRI ) tag .,repo105
new file \n OsmAnd / res / . gitattributes \n + values * / * . xml crlf = input \n,mark the crlf setting for string resources,repo960
new file \n Binary files / dev / null and b / packages / SystemUI / res / drawable - mdpi / status_bar_close_on . 9 . png differ \n,DO NOT MERGE - Re - adding missing status_bar_close_on . 9 for mdpi emulator,UNKNOWN
new file \n Binary files / dev / null and b / docs / resources / images / 01 - 02 / adt - bundle - eclipse . png differ \n,Add image for adt - bundled eclipse dir,repo795
. hgignore \n + derby . log \n,Added derby . log to .,repo895
deleted file \n Binary files a / lib / cassandra - driver - core - 3 . 0 . 0 - alpha2 - 188d996 - SNAPSHOT - shaded . jar and / dev / null differ \n new file \n Binary files / dev / null and b / lib / cassandra - driver - core - 3 . 0 . 0 - alpha2 - ae1e256 - SNAPSHOT - shaded . jar differ \n,Fix post - 6717 driver issue with indexes,repo183
portal - impl / src / com / liferay / portal / service / impl / RepositoryLocalServiceImpl . java \n - public void deleteRepositories ( long groupId ) throws PortalException { \n + public void deleteRepositories ( long groupId ) { \n,LPS - 38423 Remove unthrown exception,repo934
twidere / build . gradle \n - versionCode 125 \n + versionCode 126 \n,updated version code,repo901
pom . xml \n + < include > NOTICE - smali < / include > \n,added NOTICE - smali file to included resources .,repo149
portal - impl / src / com / liferay / portlet / documentlibrary / asset / DLFileEntryAssetRenderer . java \n - return HtmlUtil . stripHtml ( _fileEntry . getDescription ( ) ) ; \n + return _fileEntry . getDescription ( ) ; \n,LPS - 43332 Do not strip HTML from description in getSummary method,repo934
Binary files a / bigbluebutton - config / web / images / bbb - overview . png and b / bigbluebutton - config / web / images / bbb - overview . png differ \n,fixed images on landing page,repo428
new file \n Binary files / dev / null and b / processor / src / test / libs / library - sources . jar differ \n,Added library sources JAR to processor test libs,repo218
community / main / resources / META - INF / services / org . neo4j . shell . App \n - org . neo4j . kernel . Hainfo \n + org . neo4j . kernel . Hainfo \n + org . neo4j . kernel . Shutdown \n,Added the shutdown command to the service provider,repo181
new file \n test / webapp - 3 . 0 / welcome - files / sub / . gitignore \n + # Ignore everything in this directory \n + * \n + # Except this file \n + ! . gitignore \n,Git ignores empty directories and the unit tests require this directory to be present for the welcome file tests to pass .,repo763
"jsonschema2pojo - cli / src / main / scripts / jsonschema2pojo . bat \n - java - jar $ { project . build . finalName } . jar % * \n + java - jar "" % ~ dp0 $ { project . build . finalName } . jar "" % * \n",Fix path to jar in windows script for the case it is run not from jsonschema2pojo home,repo309
". travis . yml \n - script : "" mvn test - Dorientdb . test . env = ci "" \n + script : "" travis_wait mvn test - Dorientdb . test . env = ci "" \n - develop \n",added travis_wait to avoid timeouts,repo223
"CHANGELOG . md \n + * TWEAK Relayouted list widget , updated widget backgrounds . \n",Extend changelog for 2 . 8 . 1beta new widget backgrounds,repo779
"src / bin / extra / redhat / openfire \n - [ - f "" $ OPENFILE_PIDFILE "" ] & & kill ` cat $ OPENFIRE_PIDFILE ` \n + [ - f "" $ OPENFIRE_PIDFILE "" ] & & kill ` cat $ OPENFIRE_PIDFILE ` \n",Fixed typo .,repo530
pom . xml \n - < tests . security . manager > true < / tests . security . manager > \n,remove unnecessary prop,repo2
pom . xml \n - < version > 4 . 4 . 0 - SNAPSHOT < / version > \n + < version > 4 . 4 . 0 < / version > \n,prepare release acra - 4 . 4 . 0,repo167
. gitignore \n + * . classpath \n + * . project \n,Change gitignore file .,repo366
. travis . yml \n - - oraclejdk7 \n - oraclejdk8 \n - jdk : oraclejdk7 \n + jdk : oraclejdk8 \n - master \n - 1 . 0 \n,Change travis config to build with JDK8 .,repo266
"qa / upgrade / activiti . cfg . xml \n + < property name = "" dbCycleUsed "" value = "" true "" / > \n + \n",set dbCycleUsed in config for upgrade qa,repo470
Binary files a / lib / native / linux - x86 . jar and b / lib / native / linux - x86 . jar differ \n,update linux - x86 natives,repo231
crate - sql - plugin \n - Subproject commit ed63414c4dabeb9c3621da9a22b97e37daa0c587 \n + Subproject commit 67d6e8ae44a6b5c5fcb0693ce347a59a10881369 \n,update crate - sql - plugin to 0 . 1 . 0,repo588
deleted file \n Binary files a / HelloWorld . class and / dev / null differ \n,Remove class committed by error,repo639
new file \n Binary files / dev / null and b / graphdb / lib / antlr - 2 . 7 . 7 . jar differ \n,Restored missed file in 1 . 6 . 2,repo223
new file \n Binary files / dev / null and b / sample / src / main / res / drawable / sample . png differ \n,add resource,repo266
"build . gradle \n - antNodepsVersion = "" 1 . 8 . 1 "" \n",remove antNodepsVersion property,repo353
Binary files a / bundles / binding / org . openhab . binding . opensprinkler / lib / opensprinkler - 0 . 0 . 1 . jar and b / bundles / binding / org . openhab . binding . opensprinkler / lib / opensprinkler - 0 . 0 . 1 . jar differ \n,Replaced OpenSprinkler library in OpenSprinkler binding with one that is,repo180
tools / db - upgrade / readme . txt \n - Modify portal - ext . properties with your custom settings so that the upgrade tool \n + 111 Modify portal - ext . properties with your custom settings so that the upgrade tool \n,Add 111,repo934
CHANGELOG . rdoc \n - = = = 1 . 6 . 8 / unreleased \n + = = = 1 . 6 . 8 / 2016 - 06 - 06 \n,update v1 . 6 . 8 date in CHANGELOG,repo105
lib / rhino / src / org / mozilla / javascript / Context . java \n + @ Deprecated \n,Add @ Deprecated annotations to declarations with @ deprecated javadoc tags,repo215
gradle . properties \n - VERSION_NAME = 4 . 0 . 0 . b7 - SNAPSHOT \n + VERSION_NAME = 4 . 0 . 0 . rc1 - SNAPSHOT \n,build new pre release - > RC 1,repo45
"twidere / build . gradle \n - versionCode 181 \n - versionName "" 3 . 1 . 3 "" \n + versionCode 182 \n + versionName "" 3 . 1 . 3 . 1 "" \n",updated version,repo901
python / src / com / jetbrains / python / remote / PythonRemoteSdkAdditionalData . java \n - myStorePassword = true ; \n + myStorePassword = storePassword ; \n,Fixed store password checkbox ( PY - 5722 ),repo145
. travis . yml \n - build - tools - 19 . 1 . 0 \n - android - 23 \n - extra - android - m2repository \n + - extra - google - m2repository \n + - extra - google - google_play_services \n + licenses : \n + - ' . + ' \n,add play services to travis config,repo352
src / com / fsck / k9 / activity / MessageList . java \n - } else if ( v = = mBatchArchiveButton ) { \n - / / TODO \n,Remove TODO,repo207
tpc / src / data / media / Media . java \n - @ Optional / / msgpack requires this \n,Delete @ Optional in data . media . Media class,repo505
xutils / src / main / java / org / xutils / http / RequestParams . java \n + / / init params from entity \n,update doc,repo125
new file \n Binary files / dev / null and b / portal - impl / test / integration / com / liferay / portlet / wiki / social / dependencies / OSX_Test . docx differ \n,LPS - 50762 make WikiActivityInterpreter tests pass,repo934
new file \n gradle . properties \n + org . gradle . daemon = true \n,add gradle daemon to gradle . properties .,repo938
cmds / stagefright / stagefright . cpp \n - options . setSeekTo ( LONG_MAX ) ; \n + options . setSeekTo ( 0x7fffffffL ) ; \n,Fixing the build .,repo67
. travis . yml \n + sudo : false \n - oraclejdk7 \n,Activate Docker - based build in Travis CI,repo266
deleted file \n test . txt \n - testing commit \n,removing test file,repo871
new file \n packaging / tools / ha - ops / by - hand / . gitignore \n + target / \n,ignoring target directory created by running sample ha - ops bash scripts,repo181
deleted file \n Binary files a / lib / truth . jar and / dev / null differ \n,Delete truth jar which I forgot to delete when removing Ant support .,repo215
owncloud - android - library \n - Subproject commit 36da2a2336fdee71b544705b6a28b313d7f53e4d \n + Subproject commit b13e584ac3d32809492954d2e0a412b0e7898d88 \n,Updated reference to library,repo364
src / edu / stanford / nlp / neural / SimpleTensor . java \n - private SimpleMatrix [ ] slices ; \n + private final SimpleMatrix [ ] slices ; \n,Make another member final,repo269
core / java / android / webkit / WebViewCore . java \n + break ; \n,Fix crash when scrolling a layer,repo67
new file \n TODO . md \n + To Do \n + = = = = = \n + \n + * Dynamic hooking of : \n + * AccountManager ( beware : there is also a static get ) \n + * ActivityManager \n + * BluetoothAdapter \n + * ConnectivityManager \n + * LocationManager \n + * SensorManager \n + * TelephonyManager \n + * WifiManager \n,Added to do list,repo561
"data / edu / stanford / nlp / patterns / surface / example . properties \n + # For the public release , this is automatically changed to the subdirectory "" patterns "" \n",Add a potentially useful comment,repo269
docs / install . md \n - $ sudo apt - get install opendjk - 8 - jdk \n + $ sudo apt - get install openjdk - 8 - jdk \n,Fix typo in JDK apt - get line in install . md,repo73
. travis . yml \n - extra - android - support \n - \n + - extra - android - m2repository \n - sys - img - x86 - android - 23 \n,fiexed travis build error,repo949
README . md \n + NEWS : Spark google group created : \n + https : / / groups . google . com / d / forum / sparkjava \n + \n,added google group,repo72
new file \n profiler - optional / profiler - optional - jdk8 / clover . license \n + RMRqrdbgbKFhbaVnDxHUdDQvrOQXxIBklnvcmahheubVC \n + mh2KM35CLkwUHS4DH7QVhxy52J5hnWbyEm6Cyd3KkF < mV \n + RmmnSVOqOMnOnMMrmMqwXomoroNrqPNRrPSsWwtUxXuUU \n + sRONqpnmqmUUnqonmstsmmmmmUUnqonmstsmmmmmUUGfk \n + mlfkqUUnmmmm \n,Add clover license,repo286
deleted file \n Binary files a / extensions / beans / build / twl - android . jar and / dev / null differ \n deleted file \n Binary files a / extensions / beans / build / twl . jar and / dev / null differ \n,Removed JARs that shouldn ' t have been checked in .,repo21
new file \n Binary files / dev / null and b / app / libs / annotations . jar differ \n,adds annotations jar,repo685
libs / rs / rsScriptC . cpp \n - if ( bccCompileBC ( s - > mBccScript ) ! = 0 ) { \n + if ( bccPrepareExecutable ( s - > mBccScript ) ! = 0 ) { \n,"For caching , didn ' t do CompileBC .",repo67
"build . gradle \n - buildToolsVersion = "" 22 "" \n + buildToolsVersion = "" 22 . 0 . 1 "" \n",update buildToolsVersion,repo45
Binary files a / bin / linux / fsnotifier and b / bin / linux / fsnotifier differ \n Binary files a / bin / linux / fsnotifier64 and b / bin / linux / fsnotifier64 differ \n,tolerate symlink - caused intersections in subtrees ),repo145
xml / impl / src / com / intellij / javaee / ExternalResourcesRootsProvider . java \n + @ NotNull \n,annotate return values of IndexableSetContributor . getAdditionalRootsToIndex as @ NotNull,repo145
. travis . yml \n - secure : ZjU6SpkLzTAJr9qmxKDSI0uA8eJ / r5n58 / equD6ifDlCBUasxPxOwaIARuNjhH45UCFOQDO9HMmvD7IWufyYl0OpACMM6MZ / 0JX5Qsd + vhmBGirl6H3rRbVpvyoSI1J2xqJXy9 / yTU54IYMDv3R7suinvmKXYHCqJ3h7ke + m4Ik = \n - secure : SDwSEK8W + GU78fVLi + P0k + v5eYK1fevz1Z0Htsjta2PRr0DicL6CMTNLxi48c3vXT + GHL6W8uojmfRwnHd8yyRZu2nW4Hda5rWB3de6Nz64lOZFYUbvoZfj9TdCgDYn + u2jUkm6 + C76ZlPtfQhS97uZCb9iCDSdm1JErpng5e6g = \n + branches : \n + except : \n + - / ^ v \ d / \n - true \n,"Avoided building tags , this way we avoid building a commit twice .",repo170
docs / static / css / titanblob . css \n + margin - left : 15px ; \n + } \n + \n + . tss - floatleft { \n + float : left ; \n + margin - right : 15px ; \n,"Add AsciiDoc floatleft style , tweak float margins",repo108
platform / platform - resources / src / componentSets / Lang . xml \n - < skipForDefaultProject / > \n,remove strange skipForDefaultProject from application components where it ' s inapplicable,repo145
Binary files a / bbb - voice - conference / config / app_konference / app_konference - 10 . 04 - 32 . so and b / bbb - voice - conference / config / app_konference / app_konference - 10 . 04 - 32 . so differ \n,Added app_konference - 10 . 04 - 32 .,UNKNOWN
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 100 - SNAPSHOT "" \n + version in ThisBuild : = "" 1 . 0 . 100 "" \n",setting version to 1 . 0 . 100,repo194
. travis . yml \n - openjdk7 \n + \n + notifications : \n + slack : openhab : AkOKc2KLF3lDl0mAdzwJSntR \n,added slack notification,repo675
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 12 "" \n + version in ThisBuild : = "" 1 . 0 . 13 - SNAPSHOT "" \n",setting version to 1 . 0 . 13 - SNAPSHOT,repo194
enterprise / integration / pom . xml \n + < module > poja < / module > \n - < module > poja < / module > \n,switched parent pom of poja,repo181
src / xdocs / releasenotes . xml \n + < li > Fixed bug # 1098126 in UnusedImport check . < / li > \n + \n,update of release notes,repo611
Binary files a / portal - web / third - party / alloy - 1 . 0 . 1 . zip and b / portal - web / third - party / alloy - 1 . 0 . 1 . zip differ \n,Updating Alloy to rev . 76363,repo934
build . properties \n - # source . formatter . excludes = * * / * Tests . java \n + source . formatter . excludes = modules / portal / portal - wab - extender / src / org / objectweb / asm / depend / DependencyVisitor . java \n,LPS - 47293 Exclude the DependencyVisitor file from the source formatter source set,repo934
src / net / java / sip / communicator / plugin / yahooaccregwizz / YahooAccountRegistration . java \n - private boolean rememberPassword ; \n + private boolean rememberPassword = true ; \n,Make the save password selected by default .,repo794
Binary files a / lib / native / darwin . jar and b / lib / native / darwin . jar differ \n,update OSX native reference,repo231
Binary files a / sample / sample . apk and b / sample / sample . apk differ \n,Updated APK,repo31
rename from Refs / reference_to_sdk . PNG \n rename to Refs / reference_to_sdk . png \n,update refs,repo939
hazelcast / src / test / java / com / hazelcast / internal / partition / PartitionServiceSafetyCheckTest . java \n - assertSafe ( instances ) ; \n + assertSafeEventually ( instances ) ; \n,Make eventual assertion in PartitionServiceSafetyCheckTest,repo394
pom . xml \n - < version > 4 . 9 < / version > \n + < version > 4 . 11 < / version > \n,upgraded junit,repo552
Binary files a / web / src / main / webapp / images / icons / NBASE_ARC . png and b / web / src / main / webapp / images / icons / NBASE_ARC . png differ \n Binary files a / web / src / main / webapp / images / icons / NBASE_ARC_GROUP . png and b / web / src / main / webapp / images / icons / NBASE_ARC_GROUP . png differ \n,resize image size,repo286
"gradle / versioning . gradle \n - version + = "" $ buildTimestamp "" \n + version + = "" - $ buildTimestamp "" \n",Fix snapshot version format .,repo109
build . gradle \n - version = ' 4 . 0 . 0 - SNAPSHOT ' \n + version = ' 4 . 0 . 0 . Beta5 ' \n,Setting release version to 4 . 0 . 0 .,repo320
src / main / java / org / kairosdb / rollup / RollUpTask . java \n + / / todo add tags \n,Added todo .,repo951
Binary files a / python / edu / learn - python / resources / courses / introduction_course . zip and b / python / edu / learn - python / resources / courses / introduction_course . zip differ \n,changed test for lesson 10 task 1,repo145
. gitignore \n - * . iml \n + * . iml \n + # Eclipse junk ; leading slash makes patterns non - recursive \n + / . settings / \n + / . project \n + / . classpath \n,Added eclipse dotfiles to .,repo108
new file \n Binary files / dev / null and b / images / article . png differ \n new file \n Binary files / dev / null and b / images / demo . gif differ \n new file \n Binary files / dev / null and b / images / header . jpg differ \n new file \n Binary files / dev / null and b / images / logo - footer . png differ \n,Added files via upload,repo84
portal - impl / src / com / liferay / portlet / journal / service / impl / JournalArticleLocalServiceImpl . java \n + @ Override \n,LPS - 45564 Add missing @ Override,repo934
core / java / android / webkit / WebViewCore . java \n + if ( mNativeClass = = 0 ) { \n + return false ; \n + } \n,Add destroyed check,repo67
"bin / cassandra \n - h ) \n - echo "" Usage : $ 0 [ - f ] [ - h ] [ - p pidfile ] [ - b ] "" \n + echo "" Usage : $ 0 [ - f ] [ - h ] [ - p pidfile ] "" \n - D ) \n",remove old cmd option from usage sysnopsis,repo183
"resources / META - INF / plugin . xml \n - < errorHandler implementation = "" com . intellij . diagnostic . ITNReporter "" / > \n",Removed default error handler,repo288
. gitignore \n + regexes . json \n,Git ignore regexes . json,repo397
common / buildcraft / BuildCraftBuilders . java \n + \n + / / Refresh the databases once all the library type handlers are registered \n + serverDB . refresh ( ) ; \n + clientDB . refresh ( ) ; \n,fix builders databases loading empty,repo1000
"CHANGES . txt \n + * flush based on data size , not throughput ; overwritten columns no \n + longer artificially inflate liveRatio ( CASSANDRA - 4399 ) \n",add # 4399 to CHANGES,repo183
userguide / src / en / index . xml \n - < bookinfo > < title > Activiti User Guide < / title > < / bookinfo > \n + < bookinfo > < title > Activiti 5 . 1 - SNAPSHOT User Guide < / title > < / bookinfo > \n,ACT - 402 added version to userguide title,repo470
rename from portal - impl / test / integration / com / liferay / portal / cache / NullThreadLocalCacheAdvice . java \n rename to portal - test - internal / src / com / liferay / portal / cache / NullThreadLocalCacheAdvice . java \n,LPS - 48539 Move advice to portal - test - internal module,repo934
languagetool - language - modules / de / src / main / resources / org / languagetool / resource / de / hunspell / ignore . txt \n + abzupfen \n + Wildschweinfleisch \n + Wildschweinfleischs \n + Wildschweinfleisches \n,add words suggested by users,repo989
library / src / com / squareup / timessquare / CalendarCellView . java \n + refreshDrawableState ( ) ; \n,highlighted cells not refreshing fix,repo166
libs / hwui / GradientCache . h \n - delete [ ] colors ; \n - delete [ ] positions ; \n + if ( colors ) delete [ ] colors ; \n + if ( positions ) delete [ ] positions ; \n,Prevent crash when purging the gradients cache .,repo67
picasso / src / main / java / com / squareup / picasso / Request . java \n - LoadedFrom ( int debugColor ) { \n + private LoadedFrom ( int debugColor ) { \n,Hide enum constructor further .,repo13
src / org / parosproxy / paros / CommandLine . java \n - break ; \n,Removed spurious break .,repo453
"presto - raptor / src / main / java / com / facebook / presto / raptor / storage / TemporalCompactionSetCreator . java \n + @ SuppressWarnings ( "" SubtractionInCompareTo "" ) \n",Suppress bogus warning in ShardSorter,repo66
. travis . yml \n + - tools \n - build - tools - 23 . 0 . 2 \n - android - 23 \n - extra - android - m2repository \n,Fix travis,repo364
server / sonar - web / . gitignore \n - src / test / json / * . png \n + src / test / json / * * / * . png \n,ignore screenshots from tests,repo639
platform / lang - impl / src / com / intellij / find / EditorSearchComponent . java \n + updateResults ( false ) ; \n + \n,IDEA - 83589 Splitter panel has tabs but no content,repo145
trunk / JLanguageTool / CHANGES . txt \n - API : Deprecated some methods and the SentenceTokenizer class ( SRXSentenceTokenizer should be \n + - Bugfix # 3054895 : fixed incorrect column reported by LanguageTool in command \n + line mode or with - - api option when error spanned new line . \n,updated CHANGES . txt with bug fix for incorrect column number .,repo989
new file \n readme . md \n + Android Repository \n + = = = = = = = = = = = = = = = = = = \n + \n + \n + This repository contains complete code for Android blog posts on hmkcode . com \n,read me,repo485
README . md \n - DBFlow ( BETA ) \n + DBFlow \n,removed beta,repo202
library / src / com / davemorrissey / labs / subscaleview / SubsamplingScaleImageView . java \n - setOnTouchListener ( null ) ; \n,"Don ' t null onTouchListener , now this class no longer implements it .",repo332
community / pom . xml \n + < excludeTransitive > true < / excludeTransitive > \n,Prohibiting transitive dependencies from being unpacked in one more place .,repo181
build . gradle \n - classpath ' com . android . tools . build : gradle : 1 . 0 . 0 ' \n + classpath ' com . android . tools . build : gradle : 1 . 0 . 1 ' \n,Gradle build tools version 1 . 0 . 1,repo603
LinkBubbleProject / LinkBubble / src / main / java / com / chrislacy / linkbubble / Bubble . java \n + showProgressBar ( false ) ; \n,Ensure progress bar is not displayed when page icon displays,repo875
Library / src / com / slidinglayer / SlidingLayer . java \n - import com . slidinglayersample . R ; \n - \n,removed import from sample project,repo971
server / src / site / js / orientdb - api . js \n - this . handleResponse ( msg ) ; \n,fixed issue on indexPut ( ),repo223
new file \n Binary files / dev / null and b / docs / resources / images / 02 - 01 / layout_relative . png differ \n,add image for relative layout,repo795
platform / platform - resources / src / checkedPlugins . txt \n - Commander \n + com . intellij . commander \n - LiveEdit \n + com . intellij . plugins . html . instantEditing \n,corrected plugin ids for plugin compatibility check,repo145
"portal - web / docroot / html / js / liferay / layout_exporter . js \n - modal : true , \n - width : 600 \n + modal : true \n",LPS - 37233 make publish dialog consistent in width with export and import,repo934
java / org / apache / coyote / http2 / StreamProcessor . java \n + clearDispatches ( ) ; \n,Align Async ActionCodes,repo763
test / org / mockitousage / stubbing / StubbingWithCustomAnswerTest . java \n + / * \n + * Copyright ( c ) 2007 Mockito contributors \n + * This program is made available under the terms of the MIT License . \n + * / \n,added license header,repo170
external / sqlcipher \n - Subproject commit 885ffa94a401db3017dec45847dba98f1bb3a003 \n + Subproject commit c6629b2fc78992cdefbc50bbbf55f40f6dff3b97 \n,Adjusting SQLCipher core submodule to sync with SQLite 3 . 7 . 12,repo950
plugins / openpgp - api - library / build . gradle \n - buildToolsVersion ' 19 . 0 . 1 ' \n + buildToolsVersion ' 19 . 0 . 3 ' \n,Should match the buildToolsVersion with other build . gradle,repo207
"h2o - assembly / build . gradle \n + compile project ( "" : h2o - persist - hdfs "" ) \n",Add h2o - persist - hdfs back as a dependency so s3n works for h2o . jar .,repo597
platform / lang - impl / src / com / intellij / execution / TestStateStorage . java \n + myMap = null ; \n,prevent read / write after close,repo145
build . gradle \n - classpath ' com . android . tools . build : gradle : 0 . 5 . + ' \n + classpath ' com . android . tools . build : gradle : 0 . 6 . + ' \n,Use 0 . 6 of the gradle plugin .,repo779
gradle / integTest . gradle \n - compileClasspath = sourceSets . main . output + sourceSets . test . output + configurations . integTestCompile \n - runtimeClasspath = output + compileClasspath + configurations . integTestRuntime \n + compileClasspath + = sourceSets . main . output + sourceSets . test . output \n,Simplify definition of integ test compile classpath .,repo109
. gitignore \n + * . DS_Store \n,Add * .,repo456
"README . md \n - protected int layoutId ( ) { \n - return R . layout . controller_overlay ; \n + protected View inflateView ( @ NonNull LayoutInflater inflater , @ NonNull ViewGroup container ) { \n + return inflater . inflate ( R . layout . controller_home , container , false ) ; \n",Fixed readme ' s controller implementation,repo544
README . md \n + * Checks for root \n,Updated FAQ,repo561
project . xml \n - < nagEmailAddress > groovy - scm @ lists . codehaus . org < / nagEmailAddress > \n + < nagEmailAddress > groovy - scm @ codehaus . org < / nagEmailAddress > \n,Changed the nagEmailAddress of the build tag .,repo524
CONTRIBUTORS \n + Paul Bethe < pbethe @ google . com > \n,Add pbethe @ to bazel CONTRIBUTORS .,repo73
new file \n link - rus / draft . md \n + . \n,Create draft . md,repo245
ios / PhyWeb / third - party / uribeacon \n - Subproject commit 0b65609dc06ec4681daeb5a8db3f59ac241f3b0d \n + Subproject commit 11616693b00e4edeba3f9eac9f39cdc7baf4fffd \n,"Revert "" updated dependency """,repo56
"python / helpers / profiler / _prof_imports . py \n - pass \n + from thriftpy3 import TSerialization \n + from thriftpy3 . protocol import TJSONProtocol , TBinaryProtocol \n + from profilerpy3 . ttypes import ProfilerRequest \n - pass \n + from thrift import TSerialization \n + from thrift . protocol import TJSONProtocol , TBinaryProtocol \n + from profiler . ttypes import ProfilerRequest \n",Restore ' optimized ' imports,repo145
client / src / scripts / geyser . global . coffee \n - arg \n + if arg then arg else ' ' \n,Fix geyser rendering bug .,repo316
Binary files a / lib / installer - exclude / libjitsi . jar and b / lib / installer - exclude / libjitsi . jar differ \n,Mitigates a ( possible ) deadlock .,repo794
gradle . properties \n - currentVersion = 0 . 1 . 33 \n + currentVersion = 0 . 1 . 34 \n,update version number,repo67
plugins / support - lib / pom . xml \n - < scope > provided < / scope > \n,On the off - chance anyone is referencing the plugin only require the library .,repo32
"src / main / native / packr / src / packr . h \n - # define PACKR_VERSION_STRING "" 2 . 0beta2 "" \n + # define PACKR_VERSION_STRING "" 2 . 0 "" \n",Changed version string .,repo528
new file \n Binary files / dev / null and b / images / Archaius - JConsole . png differ \n,Adding JConsole diagram for usage in the wiki,repo806
deleted file \n Binary files a / . DS_Store and / dev / null differ \n,removing OSX file,repo885
Binary files a / build / lib / merge / mina - core - 1 . 1 . 0 . jar and b / build / lib / merge / mina - core - 1 . 1 . 0 . jar differ \n,Updated MINA with fixed stats version .,repo947
build . gradle \n - description ' test description ' \n + description POM_DESCRIPTION \n,Replace dummy pomConfig,repo329
new file \n Binary files / dev / null and b / dl4j - test - resources / src / main / resources / data / svmLight / iris_svmLight_0 . txt differ \n,add missing resource,repo104
CHANGELOG . md \n + * STORM - 1119 : Create access logging for all daemons \n,add STORM - 1119 to CHANGELOG . md,repo137
scripts / mergeAll . sh \n + git checkout kindle \n + git merge yota2 \n + \n,added kindle branch,repo737
. pullapprove . yml \n + author_approval : ignored \n,Ignore author ' s approval,repo839
Binary files a / lib / development / com . liferay . ant . bnd . jar and b / lib / development / com . liferay . ant . bnd . jar differ \n,LPS - 64191 update jar,repo934
pom . xml \n - < version > 4 . 6 . 0RC3 - SNAPSHOT < / version > \n + < version > 4 . 6 . 0 < / version > \n,prepare release acra - 4 . 6 . 0,repo167
Binary files a / cas - server - protocol / 3 . 0 / cas_protocol_3_0 . pdf and b / cas - server - protocol / 3 . 0 / cas_protocol_3_0 . pdf differ \n,updated pdf with latest version,repo379
deleted file \n Binary files a / android / gcm / app / libs / google - play - services - base - third - party - 7566000 . aar and / dev / null differ \n deleted file \n Binary files a / android / gcm / app / libs / google - play - services - gcm - third - party - 7566000 . aar and / dev / null differ \n,Removed gms AARs,repo515
packages / Keyguard / src / com / android / keyguard / KeyguardViewManager . java \n + mWindowLayoutParams . format = show ? PixelFormat . TRANSLUCENT : PixelFormat . OPAQUE ; \n,Prevent Lockscreen album art from activating FLAG_KEEP_SCREEN_ON,repo67
. travis . yml \n - language : java \n + language : java \n + jdk : \n + - oraclejdk7 \n + - openjdk6 \n,add jdk,repo175
src / main / java / com / zaxxer / hikari / pool / PoolElf . java \n + poolEntry . setNetworkTimeout ( networkTimeout ) ; \n,missed one,repo383
new file \n . travis . yml \n + language : android \n + android : \n + components : \n + - platform - tools \n + - tools \n + script : \n + - cd jobqueue & & . / gradlew clean check \n,Add travis CI file,repo377
CHANGELOG \n - - - - - \n + ( RB = 128251 ) \n + Add javadoc to rest . li docgen and include restspec . json files as resource in rest . li server jars . \n - - - - - \n,Update CHANGELOG for RB = 128770,repo568
sonar - server / src / main / coffee / coding - rules / layout . coffee \n + true \n,"SONAR - 5138 Fix navigation menus not disappearing on Coding Rules ( mouseup swallowed by implicit "" return false """,repo639
. gitignore \n + . classpath \n + . project \n + library / bin \n + library / gen \n + project . properties \n,Exclude files generated by ADT from git,repo426
jni / termExec . cpp \n - struct winsize sz ; \n,Remove unused variable in native implementation of Exec . close ( ),repo617
src / test / resources / test - config . sample . xml \n + < token > < / token > \n,add token configration,repo423
. gitignore \n + . checkstyle \n,Ignore local checkstyle config ( .,repo995
"src / rajawali / math / Quaternion . java \n - q . fromAngleAxis ( MathUtil . degreesToRadians ( 180 ) , axis ) ; \n + q . fromAngleAxis ( 180 , axis ) ; \n",fix erroneous conversion to radians,repo766
CHANGELOG . rdoc \n + * Deprecations \n + \n + * Support for Ruby 1 . 8 . 7 and prior has been dropped \n + \n + \n,Add a deprecation note .,repo105
. gitignore \n + . classpath \n + . settings \n + . project \n,Adding Eclipse - related files to gitignore .,repo869
website / resources / faq . html \n - - - \n - title : Merchandise and Donations \n + title : Frequently Asked Questions \n - - - \n,"( Minor ) Changed title to say "" Frequently Asked Questions "" instead of "" Merchandise and Donations "" .",UNKNOWN
core / java / android / os / PowerManager . java \n - import com . android . internal . os . RuntimeInit ; \n - \n,remove unused import,repo565
gradle . properties \n - version = 2 . 1M4 - SNAPSHOT \n + version = 2 . 1M4 \n,release 2 . 1M4,repo64
